"ServerName","(C:)","(D:)","(E:)"
"DC-WMO-ADMIN01","143.76 GB","(not found)","(not found)"
"DC-WMO-ADMIN02","116.5 GB","(not found)","(not found)"
"DC-WMO-ADPTVA1","354.74 GB","(not found)","(not found)"
"DC-WMO-ADT01","178.12 GB","(not found)","(not found)"
"DC-WMO-ADT02","168.09 GB","(not found)","(not found)"
"DC-WMO-ADT03","177.52 GB","(not found)","(not found)"
"DC-WMO-ADT04","375.58 GB","(not found)","(not found)"
"DC-WMO-ADT05","385.59 GB","(not found)","(not found)"
"DC-WMO-ADT06","166.02 GB","(not found)","(not found)"
"DC-WMO-AEROSOL1","137.25 GB","(not found)","(not found)"
"DC-WMO-AGM","360.25 GB","(not found)","(not found)"
"DC-WMO-APDESK1","26.46 GB","(not found)","(not found)"
"DC-WMO-APDESK2","60.24 GB","(not found)","(not found)"
"DC-WMO-APGATE","42.25 GB","(not found)","(not found)"
"DC-WMO-APM","109.85 GB","3.57 GB","(not found)"
"DC-WMO-APO1","164.78 GB","(not found)","(not found)"
"DC-WMO-BREAK1","110.77 GB","(not found)","(not found)"
"DC-WMO-BREAK2","144.87 GB","(not found)","(not found)"
"DC-WMO-BREAK3","170.44 GB","(not found)","(not found)"
"DC-WMO-BREAK4","161.97 GB","(not found)","(not found)"
"DC-WMO-BY03","161.32 GB","(not found)","(not found)"
"DC-WMO-BY04","193.29 GB","(not found)","(not found)"
"DC-WMO-BY06","161.7 GB","(not found)","(not found)"
"DC-WMO-CASHSP1","141.64 GB","(not found)","(not found)"
"DC-WMO-CLARRY","52.01 GB","(not found)","(not found)"
"DC-WMO-COWARD","341.33 GB","(not found)","(not found)"
"DC-WMO-CRAUD01","396.21 GB","(not found)","(not found)"
"DC-WMO-CRGM01","382.21 GB","(not found)","(not found)"
"DC-WMO-CROPS01","386.87 GB","(not found)","(not found)"
"DC-WMO-CRREC01","180.26 GB","(not found)","(not found)"
"DC-WMO-CTROOM1","165.03 GB","(not found)","(not found)"
"DC-WMO-DCSADM01","152.88 GB","(not found)","(not found)"
"DC-WMO-DCSFCP01","141.34 GB","(not found)","(not found)"
"DC-WMO-DCSFCP02","138.73 GB","(not found)","(not found)"
"DC-WMO-DCSLC01","160.28 GB","(not found)","(not found)"
"DC-WMO-DCSREC1","155.16 GB","(not found)","(not found)"
"DC-WMO-DCSREC2","145.93 GB","(not found)","(not found)"
"DC-WMO-DCSREC3","168.8 GB","7.35 GB","(not found)"
"DC-WMO-DCSREC4","183.78 GB","(not found)","(not found)"
"DC-WMO-DCSSCP01","131.81 GB","(not found)","(not found)"
"DC-WMO-DCSSCP02","138.05 GB","(not found)","(not found)"
"DC-WMO-DCSSCP03","129.33 GB","(not found)","(not found)"
"DC-WMO-DCSSCP04","145.49 GB","(not found)","(not found)"
"DC-WMO-DCSSCP05","142.33 GB","(not found)","(not found)"
"DC-WMO-DCSSCP06","140.74 GB","(not found)","(not found)"
"DC-WMO-DCSSCP07","164.39 GB","(not found)","(not found)"
"DC-WMO-DCSSHP01","127.07 GB","(not found)","(not found)"
"DC-WMO-DONATE01","135.9 GB","(not found)","(not found)"
"DC-WMO-DONATE02","132.13 GB","(not found)","(not found)"
"DC-WMO-DONATE03","167.25 GB","(not found)","(not found)"
"DC-WMO-DONATE04","159.88 GB","(not found)","(not found)"
"DC-WMO-DTRASH01","136.18 GB","(not found)","(not found)"
"DC-WMO-DTRASH02","132.47 GB","(not found)","(not found)"
