"ServerName","(C:)","(D:)","(E:)"
"DC-WMO-ADPTVA1","348.4 GB","(not found)","(not found)"
"DC-WMO-AEROSOL","25.92 GB","(not found)","(not found)"
"DC-WMO-AGM","383.37 GB","(not found)","(not found)"
"DC-WMO-APDESK1","39.57 GB","(not found)","(not found)"
"DC-WMO-APDESK2","60.61 GB","(not found)","(not found)"
"DC-WMO-APGATE","49.72 GB","(not found)","(not found)"
"DC-WMO-APM","113.27 GB","3.57 GB","(not found)"
"DC-WMO-AUDIT01","110.92 GB","(not found)","(not found)"
"DC-WMO-AUDIT03","90.19 GB","(not found)","(not found)"
"DC-WMO-AUDIT05","56.74 GB","(not found)","(not found)"
"DC-WMO-AUDIT07","53.92 GB","(not found)","(not found)"
"DC-WMO-AUDIT08","73.36 GB","(not found)","(not found)"
"DC-WMO-AVILAE","58.45 GB","(not found)","(not found)"
"DC-WMO-BREAK1","151.98 GB","(not found)","(not found)"
"DC-WMO-BREAK3","190.95 GB","(not found)","(not found)"
"DC-WMO-BREAK4","168.86 GB","(not found)","(not found)"
"DC-WMO-BY02","184.34 GB","(not found)","(not found)"
"DC-WMO-CLARRY","47.81 GB","(not found)","(not found)"
"DC-WMO-CONFREC","20.42 GB","(not found)","(not found)"
"DC-WMO-COWARD","345.44 GB","(not found)","(not found)"
"DC-WMO-CRAUD","223.76 GB","(not found)","(not found)"
"DC-WMO-CRGM","214.12 GB","(not found)","(not found)"
"DC-WMO-CROPS","202.74 GB","(not found)","(not found)"
"DC-WMO-CSHSP1","44.09 GB","(not found)","(not found)"
"DC-WMO-CTROOM","51.73 GB","(not found)","(not found)"
"DC-WMO-CURTIS","26.65 GB","(not found)","(not found)"
"DC-WMO-DCSADMIN","65.53 GB","(not found)","(not found)"
"DC-WMO-DCSFCP1","44.66 GB","(not found)","(not found)"
"DC-WMO-DCSFCP2","48.87 GB","(not found)","(not found)"
"DC-WMO-DCSLC1","57.98 GB","(not found)","(not found)"
"DC-WMO-DCSREC1","30.27 GB","(not found)","(not found)"
"DC-WMO-DCSREC2","25.16 GB","(not found)","(not found)"
"DC-WMO-DCSREC3","62.45 GB","7.35 GB","(not found)"
"DC-WMO-DCSREC4","30.62 GB","(not found)","(not found)"
"DC-WMO-DCSSCPL1","67.84 GB","(not found)","(not found)"
"DC-WMO-DCSSCPL2","56 GB","(not found)","(not found)"
"DC-WMO-DCSSCPM1","30.84 GB","(not found)","(not found)"
"DC-WMO-DCSSCPM2","33.04 GB","(not found)","(not found)"
"DC-WMO-DCSSCPM3","39.58 GB","(not found)","(not found)"
"DC-WMO-DCSSCPP1","38.7 GB","(not found)","(not found)"
"DC-WMO-DCSSCPR1","52.6 GB","(not found)","(not found)"
"DC-WMO-DCSSHIP1","41.25 GB","(not found)","(not found)"
"DC-WMO-DCSSHIP2","32.65 GB","(not found)","(not found)"
"DC-WMO-DELREAL","24.38 GB","(not found)","(not found)"
"DC-WMO-DONATE01","179.44 GB","(not found)","(not found)"
"DC-WMO-DONATE02","179.48 GB","(not found)","(not found)"
"DC-WMO-DONATE03","184.46 GB","(not found)","(not found)"
"DC-WMO-DONATE04","185.18 GB","(not found)","(not found)"
"DC-WMO-DOOR147","103.12 GB","(not found)","(not found)"
"DC-WMO-DOOR42","54.85 GB","(not found)","(not found)"
"DC-WMO-DTRASH01","149.9 GB","(not found)","(not found)"
"DC-WMO-DTRASH02","158.32 GB","(not found)","(not found)"
"DC-WMO-DTRASH04","164.54 GB","(not found)","(not found)"
"DC-WMO-DTRASH05","188.9 GB","(not found)","(not found)"
"DC-WMO-DTRASH06","158.78 GB","(not found)","(not found)"
"DC-WMO-DTRASH07","170.43 GB","(not found)","(not found)"
"DC-WMO-DTRASH08","167.3 GB","(not found)","(not found)"
"DC-WMO-DTRASH09","178.27 GB","(not found)","(not found)"
"DC-WMO-DTRASH10","180.94 GB","(not found)","(not found)"
"DC-WMO-DTRASH11","183.75 GB","(not found)","(not found)"
"DC-WMO-DTRASH12","183.24 GB","(not found)","(not found)"
"DC-WMO-DTRASH13","172.65 GB","(not found)","(not found)"
"DC-WMO-DTRASH14","167.94 GB","(not found)","(not found)"
"DC-WMO-DTRASH15","189.68 GB","(not found)","(not found)"
"DC-WMO-DTRASH16","184.35 GB","(not found)","(not found)"
"DC-WMO-FEDEX01","114.85 GB","(not found)","(not found)"
"DC-WMO-FEDEX02","122.76 GB","(not found)","(not found)"
"DC-WMO-FEDEXC1","37.97 GB","(not found)","(not found)"
"DC-WMO-FEDEXC2","85.03 GB","(not found)","(not found)"
"DC-WMO-FLAMRM2","93.23 GB","(not found)","(not found)"
"DC-WMO-FLETES","47.09 GB","(not found)","(not found)"
"DC-WMO-GENETEC","45.76 GB","(not found)","(not found)"
"DC-WMO-HERNANDE","78.61 GB","(not found)","(not found)"
"DC-WMO-HRS01","171.64 GB","(not found)","(not found)"
"DC-WMO-HRS02","408.13 GB","(not found)","(not found)"
"DC-WMO-HRS03","182.33 GB","(not found)","(not found)"
"DC-WMO-HUTCHERS","47.02 GB","(not found)","(not found)"
"DC-WMO-ITS1","371.52 GB","(not found)","(not found)"
"DC-WMO-ITS2","29.05 GB","(not found)","(not found)"
"DC-WMO-ITS3","61.6 GB","(not found)","(not found)"
"DC-WMO-ITS4","29.79 GB","(not found)","(not found)"
"DC-WMO-ITS5","158.79 GB","(not found)","(not found)"
"DC-WMO-ITS6","56.6 GB","(not found)","(not found)"
"DC-WMO-KEITH","252.95 GB","(not found)","(not found)"
"DC-WMO-LEAN01","174.71 GB","(not found)","(not found)"
"DC-WMO-LEAN02","180.92 GB","(not found)","(not found)"
"DC-WMO-MENDOZA","53.84 GB","(not found)","(not found)"
"DC-WMO-MNT01","354.94 GB","(not found)","(not found)"
"DC-WMO-MNT02","364.51 GB","(not found)","(not found)"
"DC-WMO-MNT03","351.82 GB","(not found)","(not found)"
"DC-WMO-MNT04","361.3 GB","(not found)","(not found)"
"DC-WMO-MNT05","351.01 GB","(not found)","(not found)"
"DC-WMO-MNT06","363.54 GB","(not found)","(not found)"
"DC-WMO-MNT07","375.6 GB","(not found)","(not found)"
"DC-WMO-MNT08","384.39 GB","(not found)","(not found)"
"DC-WMO-MNT09","388.68 GB","(not found)","(not found)"
"DC-WMO-MNT10","178.53 GB","(not found)","(not found)"
"DC-WMO-MNT11","175.8 GB","(not found)","(not found)"
"DC-WMO-MNT12","174.59 GB","(not found)","(not found)"
"DC-WMO-MODBC1","38.48 GB","(not found)","(not found)"
"DC-WMO-MODBC2","64.54 GB","(not found)","(not found)"
"DC-WMO-MODJN1","46.61 GB","(not found)","(not found)"
"DC-WMO-MODJN2","25.69 GB","(not found)","(not found)"
"DC-WMO-MODKN1","39.91 GB","(not found)","(not found)"
"DC-WMO-MODKN2","25.78 GB","(not found)","(not found)"
"DC-WMO-MODLN2","39.96 GB","(not found)","(not found)"
"DC-WMO-MODLS1","173.57 GB","(not found)","(not found)"
"DC-WMO-MODLS2","192.11 GB","(not found)","(not found)"
"DC-WMO-MODLS3","29.13 GB","(not found)","(not found)"
"DC-WMO-MODMN1","27.75 GB","(not found)","(not found)"
"DC-WMO-MODMN2","73.36 GB","(not found)","(not found)"
"DC-WMO-MODMN3","46.24 GB","(not found)","(not found)"
"DC-WMO-MODMN4","36.1 GB","(not found)","(not found)"
"DC-WMO-MODMN5","34.13 GB","(not found)","(not found)"
"DC-WMO-MODMS1","202.42 GB","(not found)","(not found)"
"DC-WMO-MODMS2","165.27 GB","(not found)","(not found)"
"DC-WMO-MODPN1","390.06 GB","(not found)","(not found)"
"DC-WMO-MODPN2","38.39 GB","(not found)","(not found)"
"DC-WMO-MODPS1","119.96 GB","(not found)","(not found)"
"DC-WMO-MODR5N","70.2 GB","(not found)","(not found)"
"DC-WMO-MODR7N","41.66 GB","(not found)","(not found)"
"DC-WMO-MODRS1","257.91 GB","(not found)","(not found)"
"DC-WMO-MODRS2","216.42 GB","(not found)","(not found)"
"DC-WMO-NAVA","44.58 GB","(not found)","(not found)"
"DC-WMO-PALHSP2","410.69 GB","(not found)","(not found)"
"DC-WMO-PALHSP3","407.71 GB","(not found)","(not found)"
"DC-WMO-PLTHSP1","30.3 GB","(not found)","(not found)"
"DC-WMO-PLTHSP2","45.54 GB","(not found)","(not found)"
"DC-WMO-RECDOCK1","18.52 GB","(not found)","(not found)"
"DC-WMO-RECDOCK2","39.71 GB","(not found)","(not found)"
"DC-WMO-RECWIND","8.44 GB","(not found)","(not found)"
"DC-WMO-REPLEN","85.45 GB","(not found)","(not found)"
"DC-WMO-RIOSE","13.85 GB","(not found)","(not found)"
"DC-WMO-ROSALES","118.98 GB","(not found)","(not found)"
"DC-WMO-RTNGOODS","94.5 GB","(not found)","(not found)"
"DC-WMO-RTS","173.63 GB","(not found)","(not found)"
"DC-WMO-RXDESK","43.86 GB","(not found)","(not found)"
"DC-WMO-SEE","39.36 GB","(not found)","(not found)"
"DC-WMO-SHIP1","39.83 GB","(not found)","(not found)"
"DC-WMO-SHIP2","17.19 GB","(not found)","(not found)"
"DC-WMO-SHIPSORT","82.34 GB","(not found)","(not found)"
"DC-WMO-SRM01","179.06 GB","(not found)","(not found)"
"DC-WMO-SRM02","177.17 GB","(not found)","(not found)"
"DC-WMO-TEMP01","176.22 GB","(not found)","(not found)"
"DC-WMO-TITUSJ","51.09 GB","(not found)","(not found)"
"DC-WMO-TRAIN12","96.78 GB","(not found)","(not found)"
"DC-WMO-TUBHSP1","163.94 GB","(not found)","(not found)"
"DC-WMO-TV01","196.58 GB","(not found)","(not found)"
"DC-WMO-TV02","195.92 GB","(not found)","(not found)"
"DC-WMO-TV03","198.36 GB","(not found)","(not found)"
"DC-WMO-TV04","202.91 GB","(not found)","(not found)"
"DC-WMO-TV05","199.02 GB","(not found)","(not found)"
"DC-WMO-TVAP","105.75 GB","(not found)","(not found)"
"DC-WMO-TVASRS","103.51 GB","(not found)","(not found)"
"DC-WMO-TVBRKRM1","105.08 GB","(not found)","(not found)"
"DC-WMO-TVBRKRM2","107.74 GB","(not found)","(not found)"
"DC-WMO-TVFLRLN","107.8 GB","(not found)","(not found)"
"DC-WMO-TVFRONT","107.05 GB","(not found)","(not found)"
"DC-WMO-TVJ","113.03 GB","(not found)","(not found)"
